OTUID		KO
ASV_1		Delftia
ASV_10		Pantoea
ASV_100		Stenotrophomonas
ASV_101		Pseudomonas
ASV_102		Burkholderia
ASV_103		Dyadobacter
ASV_104		Unassigned
ASV_105		Pseudomonas
ASV_106		Flavobacterium
ASV_11		Stenotrophomonas
ASV_12		Rahnella
ASV_13		Pseudomonas
ASV_14		Unassigned
ASV_15		Shinella
ASV_16		Achromobacter
ASV_17		Hydrogenophaga
ASV_18		Stenotrophomonas
ASV_19		Flavobacterium
ASV_2		Pseudomonas
ASV_20		Rahnella
ASV_21		Stenotrophomonas
ASV_22		Stenotrophomonas
ASV_23		Acinetobacter
ASV_24		Pseudoxanthomonas
ASV_25		Pseudomonas
ASV_26		Pantoea
ASV_27		Unassigned
ASV_28		Hydrogenophaga
ASV_29		Flavobacterium
ASV_3		Unassigned
ASV_30		Sphingopyxis
ASV_31		Unassigned
ASV_32		Pantoea
ASV_33		Asticcacaulis
ASV_34		Arthrobacter
ASV_35		Brevundimonas
ASV_36		Sphingopyxis
ASV_37		Pseudoxanthomonas
ASV_38		Microbacterium
ASV_39		Hydrogenophaga
ASV_4		Rhizobium
ASV_40		Unassigned
ASV_41		Flavobacterium
ASV_42		Flavobacterium
ASV_43		Achromobacter
ASV_44		Sphingobium
ASV_45		Sphingomonas
ASV_46		Brevundimonas
ASV_47		Shinella
ASV_48		Pseudoxanthomonas
ASV_49		Phyllobacterium
ASV_5		Pseudomonas
ASV_50		Pseudomonas
ASV_51		Unassigned
ASV_52		Flavobacterium
ASV_53		Unassigned
ASV_54		Unassigned
ASV_55		Stenotrophomonas
ASV_56		Pelomonas
ASV_57		Flavobacterium
ASV_58		Ochrobactrum
ASV_59		Ensifer
ASV_6		Rhizobium
ASV_60		Unassigned
ASV_61		Stenotrophomonas
ASV_62		Sphingopyxis
ASV_63		Rhizobium
ASV_64		Streptomyces
ASV_65		Rhizobium
ASV_66		Pseudomonas
ASV_67		Pseudomonas
ASV_68		Achromobacter
ASV_69		Stenotrophomonas
ASV_7		Unassigned
ASV_70		Stenotrophomonas
ASV_71		Stenotrophomonas
ASV_72		Variovorax
ASV_73		Pseudomonas
ASV_74		Hydrogenophaga
ASV_75		Pseudomonas
ASV_76		Pantoea
ASV_77		Pseudomonas
ASV_78		Burkholderia
ASV_79		Bosea
ASV_8		Achromobacter
ASV_80		Stenotrophomonas
ASV_81		Pseudomonas
ASV_82		Flavobacterium
ASV_83		Stenotrophomonas
ASV_84		Stenotrophomonas
ASV_85		Acinetobacter
ASV_86		Nocardioides
ASV_87		Pantoea
ASV_88		Raoultella
ASV_89		Pantoea
ASV_9		Stenotrophomonas
ASV_90		Stenotrophomonas
ASV_91		Pseudomonas
ASV_92		Unassigned
ASV_93		Unassigned
ASV_94		Acinetobacter
ASV_95		Flavobacterium
ASV_96		Shinella
ASV_97		Stenotrophomonas
ASV_98		Variovorax
ASV_99		Stenotrophomonas
